age,yomei
0,81.09 
1,80.24 
2,79.26 
3,78.27 
4,77.28 
5,76.29 
6,75.30 
7,74.30 
8,73.31 
9,72.31 
10,71.32 
11,70.33 
12,69.33 
13,68.34 
14,67.35 
15,66.36 
16,65.37 
17,64.38 
18,63.40 
19,62.42 
20,61.44 
21,60.47 
22,59.49 
23,58.52 
24,57.55 
25,56.58 
26,55.60 
27,54.63 
28,53.65 
29,52.68 
30,51.71 
31,50.73 
32,49.76 
33,48.79 
34,47.82 
35,46.85 
36,45.88 
37,44.92 
38,43.95 
39,42.99 
40,42.03 
41,41.07 
42,40.11 
43,39.16 
44,38.21 
45,37.26 
46,36.31 
47,35.37 
48,34.43 
49,33.49 
50,32.57 
51,31.64 
52,30.72 
53,29.81 
54,28.91 
55,28.01 
56,27.12 
57,26.23 
58,25.36 
59,24.49 
60,23.63 
61,22.78 
62,21.94 
63,21.10 
64,20.28 
65,19.47 
66,18.67 
67,17.88 
68,17.11 
69,16.35 
70,15.60 
71,14.86 
72,14.14 
73,13.44 
74,12.75 
75,12.08 
76,11.43 
77,10.79 
78,10.16 
79,9.55 
80,8.96 
81,8.39 
82,7.84 
83,7.31 
84,6.80 
85,6.31 
86,5.85 
87,5.41 
88,5.01 
89,4.62 
90,4.27 
91,3.95 
92,3.63 
93,3.33 
94,3.05 
95,2.78 
96,2.53 
97,2.30 
98,2.08 
99,1.88 
100,1.69 
101,1.52 
102,1.36 
103,1.22 
104,1.09 
105,0.97 
